base_index,variant,source,mirrored,rival_side,winner,outcome,elapsed_ticks,elapsed_seconds,rival_inherited_original_physical_car,rival_closest_to_ball,ball_field_third,ball_height_band,rival_boost_advantage,touch_rival,touch_nexto,demo_rival,demo_nexto,possession_total_rival,possession_same_rival,possession_opponent_rival,goal_entry_valid,goal_entry_x,goal_entry_z
230,1,rival_stochastic,False,1,0,nexto,132,1.1,Orange,False,orange,mid,0.0,0,2,0,0,0,0,0,False,-175.46400451660156,433.413818359375
230,2,rival_stochastic,True,0,1,nexto,132,1.1,Orange,False,blue,mid,0.0,0,2,0,0,0,0,0,False,-175.46502685546875,433.4132080078125
230,3,rival_stochastic,True,1,1,rival,208,1.7333333333333334,Blue,True,blue,mid,0.0,2,0,0,0,1,1,0,False,51.76423263549805,164.3601837158203
231,0,rival_stochastic,False,0,0,rival,309,2.575,Blue,True,middle,ground,0.0,21,0,0,0,20,20,0,False,-135.28797912597656,93.13385009765625
231,1,rival_stochastic,False,1,0,nexto,289,2.408333333333333,Orange,False,middle,ground,0.0,0,4,0,0,0,0,0,False,-604.2299194335938,95.61258697509766
231,2,rival_stochastic,True,0,1,nexto,289,2.408333333333333,Orange,False,middle,ground,0.0,0,4,0,0,0,0,0,False,-604.2433471679688,95.6141586303711
231,3,rival_stochastic,True,1,1,rival,309,2.575,Blue,True,middle,ground,0.0,21,0,0,0,20,20,0,False,-135.29547119140625,93.13384246826172
232,0,rival_stochastic,False,0,1,nexto,3489,29.075,Blue,False,middle,ground,0.0,26,27,0,0,26,22,4,False,607.6183471679688,361.26220703125
232,1,rival_stochastic,False,1,0,nexto,840,7.0,Orange,True,middle,ground,0.0,6,6,0,0,6,4,2,False,657.4181518554688,222.59378051757812
232,2,rival_stochastic,True,0,1,nexto,840,7.0,Orange,True,middle,ground,0.0,6,6,0,0,6,4,2,False,657.1807250976562,222.60435485839844
232,3,rival_stochastic,True,1,0,nexto,1668,13.9,Blue,False,middle,ground,0.0,24,10,0,0,24,21,3,False,-526.1160888671875,188.31515502929688
233,0,rival_stochastic,False,0,1,nexto,3442,28.683333333333334,Blue,False,blue,mid,11.777755737304688,26,9,0,0,26,24,2,False,-95.13751220703125,93.8381576538086
233,1,rival_stochastic,False,1,0,nexto,5266,43.88333333333333,Orange,True,blue,mid,-11.777755737304688,16,112,0,0,16,11,5,True,783.3181762695312,95.67918395996094
233,2,rival_stochastic,True,0,1,nexto,3239,26.991666666666667,Orange,True,orange,mid,-11.777755737304688,27,52,0,0,27,24,3,False,-214.52029418945312,142.33287048339844
233,3,rival_stochastic,True,1,0,nexto,2290,19.083333333333332,Blue,False,orange,mid,11.777755737304688,4,8,0,0,4,3,1,False,-353.13970947265625,449.10638427734375
234,0,rival_stochastic,False,0,0,rival,229,1.9083333333333334,Blue,True,orange,ground,5.333335876464844,7,0,0,0,6,6,0,False,379.9800109863281,93.47398376464844
234,1,rival_stochastic,False,1,0,nexto,136,1.1333333333333333,Orange,False,orange,ground,-5.333335876464844,0,5,0,0,0,0,0,False,346.487548828125,92.91767120361328
234,2,rival_stochastic,True,0,1,nexto,136,1.1333333333333333,Orange,False,blue,ground,-5.333335876464844,0,5,0,0,0,0,0,False,346.48785400390625,92.91767120361328
234,3,rival_stochastic,True,1,1,rival,229,1.9083333333333334,Blue,True,blue,ground,5.333335876464844,7,0,0,0,6,6,0,False,379.9798278808594,93.47398376464844
235,0,rival_stochastic,False,0,1,nexto,4396,36.63333333333333,Blue,True,middle,ground,-7.777524948120117,8,14,0,0,8,4,4,False,308.94207763671875,93.1412582397461
235,1,rival_stochastic,False,1,1,rival,1129,9.408333333333333,Orange,False,middle,ground,7.777524948120117,4,4,0,0,3,2,1,False,-112.83834838867188,353.5699768066406
235,2,rival_stochastic,True,0,0,rival,1129,9.408333333333333,Orange,False,middle,ground,7.777524948120117,4,4,0,0,3,2,1,False,-110.48434448242188,352.6771240234375
235,3,rival_stochastic,True,1,0,nexto,1884,15.7,Blue,True,middle,ground,-7.777524948120117,4,10,0,0,4,2,2,False,62.39253234863281,96.5890884399414
236,0,rival_stochastic,False,0,1,nexto,830,6.916666666666667,Blue,False,blue,ground,6.666664123535156,4,4,0,0,4,3,1,False,474.6395263671875,206.60321044921875
236,1,rival_stochastic,False,1,0,nexto,732,6.1,Orange,True,blue,ground,-6.666664123535156,0,4,0,0,0,0,0,False,613.4306640625,214.29083251953125
236,2,rival_stochastic,True,0,1,nexto,732,6.1,Orange,True,orange,ground,-6.666664123535156,0,4,0,0,0,0,0,False,610.978759765625,216.08438110351562
236,3,rival_stochastic,True,1,0,nexto,830,6.916666666666667,Blue,False,orange,ground,6.666664123535156,4,4,0,0,4,3,1,False,476.2674865722656,207.48509216308594
237,0,rival_stochastic,False,0,1,nexto,13,0.10833333333333334,Blue,False,blue,ground,0.0,0,0,0,0,0,0,0,False,266.5618591308594,96.72394561767578
237,1,rival_stochastic,False,1,1,rival,13,0.10833333333333334,Orange,True,blue,ground,0.0,0,0,0,0,0,0,0,False,266.5618591308594,96.72394561767578
237,2,rival_stochastic,True,0,0,rival,13,0.10833333333333334,Orange,True,orange,ground,0.0,0,0,0,0,0,0,0,False,266.5618591308594,96.72394561767578
237,3,rival_stochastic,True,1,0,nexto,13,0.10833333333333334,Blue,False,orange,ground,0.0,0,0,0,0,0,0,0,False,266.5618591308594,96.72394561767578
238,0,rival_stochastic,False,0,1,nexto,740,6.166666666666667,Blue,False,orange,ground,-24.0,0,12,0,0,0,0,0,False,-402.7942199707031,98.07424926757812
238,1,rival_stochastic,False,1,0,nexto,484,4.033333333333333,Orange,True,orange,ground,24.0,0,2,0,0,0,0,0,False,-670.9505615234375,142.40933227539062
238,2,rival_stochastic,True,0,1,nexto,484,4.033333333333333,Orange,True,blue,ground,24.0,0,2,0,0,0,0,0,False,-670.9557495117188,142.4054412841797
238,3,rival_stochastic,True,1,0,nexto,740,6.166666666666667,Blue,False,blue,ground,-24.0,0,12,0,0,0,0,0,False,-404.423583984375,97.82298278808594
