checkpoint,world,pair_key,starting_layout,rival_side,termination,winner,duration_ticks,duration_seconds,rival_touches,nexto_touches,first_toucher,rival_saves,nexto_saves,rival_flips,nexto_flips,rival_wavedash_candidates,nexto_wavedash_candidates,rival_speed_increasing_wavedash_candidates,nexto_speed_increasing_wavedash_candidates,rival_zapdash_candidates,nexto_zapdash_candidates,rival_double_dash_candidate_events,nexto_double_dash_candidate_events
plus_239,450,side0-layout0-slot450,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,451,side0-layout1-slot451,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,452,side0-layout2-slot452,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,453,side0-layout3-slot453,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,454,side0-layout4-slot454,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,455,side0-layout0-slot455,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,456,side0-layout1-slot456,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,457,side0-layout2-slot457,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,458,side0-layout3-slot458,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,459,side0-layout4-slot459,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,460,side0-layout0-slot460,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
